tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
53015000900,53,WA,015,Cowlitz County,000900,"2,127",59,"1,345",4.4%,41,"2,430",1.7%,263,874,30.1%,8.8%,-1.3%
53015001000,53,WA,015,Cowlitz County,001000,634,7,89,7.9%,39,658,5.9%,33,58,56.9%,8.8%,-1.3%
53015001100,53,WA,015,Cowlitz County,001100,"2,220",48,749,6.4%,94,"2,465",3.8%,234,487,48.0%,8.8%,-1.3%
53015001200,53,WA,015,Cowlitz County,001200,"1,578",42,923,4.6%,33,"1,797",1.8%,194,600,32.3%,8.8%,-1.3%
53015001300,53,WA,015,Cowlitz County,001300,"1,282",28,538,5.2%,62,"1,487",4.2%,130,350,37.1%,8.8%,-1.3%
53015001500,53,WA,015,Cowlitz County,001500,"2,862",97,"2,420",4.0%,0,"3,214",0.0%,425,"1,573",27.0%,8.8%,-1.3%
53015001600,53,WA,015,Cowlitz County,001600,"1,831",48,"1,240",3.9%,0,"1,521",0.0%,205,806,25.4%,8.8%,-1.3%
53015001700,53,WA,015,Cowlitz County,001700,"1,670",28,891,3.1%,1,"1,836",0.1%,111,579,19.2%,8.8%,-1.3%
53015001800,53,WA,015,Cowlitz County,001800,553,12,266,4.5%,0,565,0.0%,55,173,31.8%,8.8%,-1.3%
53015001900,53,WA,015,Cowlitz County,001900,"1,614",24,801,3.0%,0,"1,871",0.0%,93,521,17.9%,8.8%,-1.3%
53015002001,53,WA,015,Cowlitz County,002001,"1,367",22,615,3.6%,0,"1,200",0.0%,95,400,23.8%,8.8%,-1.3%
53015002002,53,WA,015,Cowlitz County,002002,"2,083",42,"1,049",4.0%,0,"1,820",0.0%,184,682,27.0%,8.8%,-1.3%
53017950100,53,WA,017,Douglas County,950100,"1,968",5,238,2.1%,6,583,1.0%,30,155,19.4%,5.9%,0.0%
53017950200,53,WA,017,Douglas County,950200,840,7,251,2.8%,0,246,0.0%,41,163,25.2%,5.9%,0.0%
53017950300,53,WA,017,Douglas County,950300,"1,832",23,898,2.6%,20,"1,856",1.1%,132,584,22.6%,5.9%,0.0%
53017950400,53,WA,017,Douglas County,950400,"1,582",29,"1,211",2.4%,26,"2,371",1.1%,163,787,20.7%,5.9%,0.0%
53017950500,53,WA,017,Douglas County,950500,"1,247",13,423,3.1%,56,"1,416",4.0%,74,275,26.9%,5.9%,0.0%
53017950600,53,WA,017,Douglas County,950600,"1,318",30,"1,125",2.7%,22,"1,610",1.4%,169,731,23.1%,5.9%,0.0%
53017950700,53,WA,017,Douglas County,950700,"1,497",19,523,3.6%,72,"1,722",4.2%,109,340,32.1%,5.9%,0.0%
53017950800,53,WA,017,Douglas County,950800,"1,440",23,766,3.0%,32,"1,664",1.9%,130,498,26.1%,5.9%,0.0%
53019980100,53,WA,019,Ferry County,980100,"1,027",7,182,3.8%,0,772,0.0%,28,118,23.7%,9.6%,0.0%
53019980200,53,WA,019,Ferry County,980200,"1,164",6,185,3.2%,0,746,0.0%,22,120,18.3%,9.6%,0.0%
53019980300,53,WA,019,Ferry County,980300,623,1,43,2.3%,1,310,0.3%,5,28,17.9%,9.6%,0.0%
53021020100,53,WA,021,Franklin County,020100,"1,431",32,583,5.5%,105,"2,147",4.9%,184,379,48.5%,6.3%,0.0%
53021020200,53,WA,021,Franklin County,020200,"1,632",20,397,5.0%,87,"1,736",5.0%,116,258,45.0%,6.3%,0.0%
53021020300,53,WA,021,Franklin County,020300,"1,472",36,949,3.8%,23,"1,662",1.4%,204,617,33.1%,6.3%,0.0%
53021020400,53,WA,021,Franklin County,020400,"2,531",38,718,5.3%,96,"2,862",3.4%,214,467,45.8%,6.3%,0.0%
53021020501,53,WA,021,Franklin County,020501,940,15,828,1.8%,29,"1,888",1.5%,80,538,14.9%,6.2%,0.0%
53021020502,53,WA,021,Franklin County,020502,"2,178",47,"1,331",3.5%,51,"2,671",1.9%,260,865,30.1%,6.2%,0.0%
